participant,time,motion.clause,motion.verb,path,ground,constr.type
157,2,Mr Bean &um baila en la calle &um en esta (1)video,bailar,en,la calle,motion_path_ground
157,2,Mr Bean corre al lado de la piscina,correr,al lado de,la piscina,motion_path_ground
157,2,y &um corre a un o una tobogán,correr,a,una tobog√°n,motion_path_ground
157,2,y él estaba caminando en la calle en la acera ,caminar,en,la calle,motion_path_ground
157,2,&um en este (1)video Mr Bean camine al lado &um de una tienda,caminar,al lado de,una tienda,motion_path_ground
157,2,y &um Mr Bean decide ir &um a la tienda,ir,a,la tienda,motion_path_ground
157,2,y posible Mr Bean &um &um no puede ir al tren en [/] &um en el tiempo,ir,al ,tren,motion_path_ground
157,2,y sí Mr Bean no &um camine,caminar,,,motion
127,3,señor Bean corre a un carretera,correr,a,un carretera,motion_path_ground
127,3,corre a la carretera,correr,a,la carretera,motion_path_ground
127,3,señor Bean corre con un perro,correr,,,motion
127,3,señor Bean camina +...,caminar,,,motion
127,3,señor Bean camina a los escalaras [: escaleras] [*],caminar,a,los escalaras [: escaleras] [*],motion_path_ground
127,3,&um y señor Bean camina a las escaleras muy muy alto # más alto del niño,caminar,a,las escaleras,motion_path_ground
127,3,que camina enfrente de señor Bean,caminar,enfrente de,se√±or Bean,motion_path_ground
128,3,&um señor Bean camina a la carretera,caminar,a,la carretera,motion_path_ground
128,3,<se√±or Bean camina a el calle uso un pie> [//] señor Bean camina al calle uso un pie,caminar,al,calle,motion_path_ground
